Feature,Importance
Feature 2,0.154061184008073
Feature 3,0.1402081477390021
Feature 20,0.10761652470457692
Feature 7,0.07547401686645719
Feature 11,0.049545315381361685
Feature 6,0.04649136639838339
Feature 14,0.04074778894367674
Feature 0,0.03765867714345759
Feature 15,0.03508178815213584
Feature 12,0.034530707140422626
Feature 17,0.0328568392815968
Feature 18,0.031814313461158095
Feature 9,0.031032665063267094
Feature 8,0.030697679272205187
Feature 10,0.02648841399471821
Feature 19,0.02442031123312533
Feature 4,0.023224656985778466
Feature 16,0.02289386759174188
Feature 13,0.022603320362092134
Feature 5,0.01632080034990574
Feature 1,0.016231615926864115
